GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ACK001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,ICPSR State Code,ICPSR County Code,Total
"G0100010","1840","Alabama","010","Autauga","0010","Autauga","41","10",73
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin","41","30",0
"G0100050","1840","Alabama","010","Barbour","0050","Barbour","41","50",562
"G0100055","1840","Alabama","010","Benton","0055","Benton","41","150",310
"G0100070","1840","Alabama","010","Bibb","0070","Bibb","41","70",991
"G0100090","1840","Alabama","010","Blount","0090","Blount","41","90",463
"G0100130","1840","Alabama","010","Butler","0130","Butler","41","130",767
"G0100170","1840","Alabama","010","Chambers","0170","Chambers","41","170",29
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee","41","190",1001
"G0100250","1840","Alabama","010","Clarke","0250","Clarke","41","250",341
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh","41","350",384
"G0100370","1840","Alabama","010","Coosa","0370","Coosa","41","370",310
"G0100390","1840","Alabama","010","Covington","0390","Covington","41","390",347
"G0100450","1840","Alabama","010","Dale","0450","Dale","41","450",808
"G0100470","1840","Alabama","010","Dallas","0470","Dallas","41","470",330
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb","41","490",834
"G0100570","1840","Alabama","010","Fayette","0570","Fayette","41","570",709
"G0100590","1840","Alabama","010","Franklin","0590","Franklin","41","590",213
"G0100630","1840","Alabama","010","Greene","0630","Greene","41","630",156
"G0100670","1840","Alabama","010","Henry","0670","Henry","41","670",410
"G0100710","1840","Alabama","010","Jackson","0710","Jackson","41","710",2340
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson","41","730",772
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale","41","770",891
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence","41","790",101
"G0100830","1840","Alabama","010","Limestone","0830","Limestone","41","830",680
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes","41","850",32
"G0100870","1840","Alabama","010","Macon","0870","Macon","41","870",161
"G0100890","1840","Alabama","010","Madison","0890","Madison","41","890",1086
"G0100910","1840","Alabama","010","Marengo","0910","Marengo","41","910",105
"G0100930","1840","Alabama","010","Marion","0930","Marion","41","930",0
"G0100950","1840","Alabama","010","Marshall","0950","Marshall","41","950",1121
"G0100970","1840","Alabama","010","Mobile","0970","Mobile","41","970",413
"G0100990","1840","Alabama","010","Monroe","0990","Monroe","41","990",235
"G0101010","1840","Alabama","010","Montgomery","1010","Montgomery","41","1010",806
"G0101030","1840","Alabama","010","Morgan","1030","Morgan","41","1030",361
"G0101050","1840","Alabama","010","Perry","1050","Perry","41","1050",28
"G0101070","1840","Alabama","010","Pickens","1070","Pickens","41","1070",720
"G0101090","1840","Alabama","010","Pike","1090","Pike","41","1090",944
"G0101110","1840","Alabama","010","Randolph","1110","Randolph","41","1110",150
"G0101130","1840","Alabama","010","Russell","1130","Russell","41","1130",91
"G0101150","1840","Alabama","010","St Clair","1150","St Clair","41","1150",650
"G0101170","1840","Alabama","010","Shelby","1170","Shelby","41","1170",270
"G0101190","1840","Alabama","010","Sumter","1190","Sumter","41","1190",28
"G0101210","1840","Alabama","010","Talladega","1210","Talladega","41","1210",486
"G0101230","1840","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",440
"G0101250","1840","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",0
"G0101270","1840","Alabama","010","Walker","1270","Walker","41","1270",360
"G0101290","1840","Alabama","010","Washington","1290","Washington","41","1290",105
"G0101310","1840","Alabama","010","Wilcox","1310","Wilcox","41","1310",178
